circuit,trojan,success,gt_verify,vn_rounds,cec_rounds,runtime_ms,area_delta,level_delta,rule_method,dt_builds,optimizer_calls,optimizer_solver_ms,effective_rules,effective_literals,effective_depth,actual_area_delta_trojan,actual_level_delta_trojan
c3540,c3540_trojan37,PASS,PASS,0,4,1620.97,-1,0,z3-pb,5,5,31.2162,1,1,1,-1,0
c3540,c3540_trojan38,PASS,PASS,0,0,669.197,-1,0,z3-pb,1,1,7.7552,1,1,1,-1,0
c3540,c3540_trojan39,PASS,PASS,0,0,1862.15,-1,0,z3-pb,1,1,17.6959,1,1,1,-1,0
c3540,c3540_trojan4,PASS,PASS,0,0,2793.26,-1,0,z3-pb,1,1,6.4511,1,1,1,-1,0
c3540,c3540_trojan40,PASS,PASS,0,0,10860.0,-1,0,z3-pb,1,1,7.8998,1,1,1,-1,0
c3540,c3540_trojan41,PASS,PASS,0,0,969.02,3,1,z3-pb,1,1,8.0597,1,2,2,3,1
c3540,c3540_trojan42,PASS,PASS,0,0,5087.49,2,1,z3-pb,1,1,6.2058,1,1,1,2,1
c3540,c3540_trojan43,PASS,PASS,0,0,2750.24,-1,0,z3-pb,1,1,16.7197,1,1,1,-1,0
c3540,c3540_trojan44,PASS,PASS,0,0,497.839,-1,0,z3-pb,1,1,8.2889,1,1,1,-1,0
c3540,c3540_trojan45,PASS,PASS,0,0,5068.87,-1,0,z3-pb,1,1,15.4495,1,1,1,-1,0
c3540,c3540_trojan46,PASS,PASS,0,0,1712.85,2,0,z3-pb,1,1,5.6742,1,1,1,2,0
c3540,c3540_trojan47,PASS,PASS,0,0,3233.03,-1,0,z3-pb,1,1,11.8769,1,1,1,-1,0
c3540,c3540_trojan48,PASS,PASS,0,0,2814.3,-1,0,z3-pb,1,1,11.4387,1,1,1,-1,0
c3540,c3540_trojan49,PASS,PASS,0,0,997.199,-1,0,z3-pb,1,1,7.4072,1,1,1,-1,0
c3540,c3540_trojan5,PASS,PASS,0,0,6102.17,-1,0,z3-pb,1,1,6.5242,1,1,1,-1,0
c3540,c3540_trojan50,PASS,PASS,0,0,3703.28,-1,0,z3-pb,1,1,12.2306,1,1,1,-1,0
c3540,c3540_trojan51,PASS,PASS,0,0,3225.79,-1,0,z3-pb,1,1,6.0038,1,1,1,-1,0
c3540,c3540_trojan52,PASS,PASS,0,0,12616.3,-1,0,z3-pb,1,1,9.836,1,1,1,-1,0
c3540,c3540_trojan53,PASS,PASS,0,0,2529.87,-1,0,z3-pb,1,1,6.7316,1,1,1,-1,0
c3540,c3540_trojan54,PASS,PASS,0,0,4841.08,-1,0,z3-pb,1,1,6.4558,1,1,1,-1,0
c3540,c3540_trojan55,PASS,PASS,0,0,7701.04,-1,0,z3-pb,1,1,7.0531,1,1,1,-1,0
c3540,c3540_trojan56,PASS,PASS,0,0,627.845,-1,0,z3-pb,1,1,6.123,1,1,1,-1,0
c3540,c3540_trojan57,PASS,PASS,0,0,1221.11,-1,0,z3-pb,1,1,5.7666,1,1,1,-1,0
c3540,c3540_trojan58,PASS,PASS,0,0,1917.91,-1,0,z3-pb,1,1,6.8219,1,1,1,-1,0
c3540,c3540_trojan59,PASS,PASS,0,0,2640.94,-1,0,z3-pb,1,1,5.6394,1,1,1,-1,0
c3540,c3540_trojan6,PASS,PASS,0,0,542.608,-1,0,z3-pb,1,1,7.4759,1,1,1,-1,0
c3540,c3540_trojan60,PASS,PASS,0,0,3842.37,-1,0,z3-pb,1,1,5.6838,1,1,1,-1,0
c3540,c3540_trojan61,PASS,PASS,0,0,12277.1,-1,0,z3-pb,1,1,8.5467,1,1,1,-1,0
c3540,c3540_trojan62,PASS,PASS,0,0,938.161,-1,0,z3-pb,1,1,6.764,1,1,1,-1,0
c3540,c3540_trojan63,PASS,PASS,0,0,1756.07,-1,0,z3-pb,1,1,6.7193,1,1,1,-1,0
c3540,c3540_trojan64,PASS,PASS,0,0,1901.65,-1,0,z3-pb,1,1,6.5351,1,1,1,-1,0
c3540,c3540_trojan65,PASS,PASS,0,0,4377.6,-1,0,z3-pb,1,1,6.0674,1,1,1,-1,0
c3540,c3540_trojan66,PASS,PASS,0,0,7136.17,-1,0,z3-pb,1,1,13.7038,1,1,1,-1,0
c3540,c3540_trojan67,PASS,PASS,0,0,6888.12,-1,0,z3-pb,1,1,7.8658,1,1,1,-1,0
c3540,c3540_trojan68,PASS,PASS,0,0,6789.43,-1,0,z3-pb,1,1,7.2113,1,1,1,-1,0
c3540,c3540_trojan69,PASS,PASS,0,0,1027.38,-1,0,z3-pb,1,1,6.8868,1,1,1,-1,0
c3540,c3540_trojan7,PASS,PASS,0,0,1198.78,-1,0,z3-pb,1,1,5.5276,1,1,1,-1,0
c3540,c3540_trojan70,PASS,PASS,0,0,2647.8,-1,0,z3-pb,1,1,8.6636,1,1,1,-1,0
c3540,c3540_trojan71,PASS,PASS,0,0,1647.28,-1,0,z3-pb,1,1,6.1233,1,1,1,-1,0
c3540,c3540_trojan72,PASS,PASS,0,0,2028.44,-1,0,z3-pb,1,1,6.9308,1,1,1,-1,0
c3540,c3540_trojan73,PASS,PASS,0,0,2152.18,-1,0,z3-pb,1,1,6.046,1,1,1,-1,0
c3540,c3540_trojan74,PASS,PASS,0,0,3448.64,-1,0,z3-pb,1,1,6.5523,1,1,1,-1,0
c3540,c3540_trojan75,PASS,PASS,0,0,507.749,-1,0,z3-pb,1,1,6.8472,1,1,1,-1,0
c3540,c3540_trojan76,PASS,PASS,0,0,848.272,-1,0,z3-pb,1,1,6.4404,1,1,1,-1,0
c3540,c3540_trojan77,PASS,PASS,0,0,1369.9,-1,0,z3-pb,1,1,5.977,1,1,1,-1,0
c3540,c3540_trojan78,PASS,PASS,0,0,741.692,-1,0,z3-pb,1,1,7.978,1,1,1,-1,0
c3540,c3540_trojan79,PASS,PASS,0,0,1697.36,-1,0,z3-pb,1,1,6.961,1,1,1,-1,0
c3540,c3540_trojan8,PASS,PASS,0,0,1689.68,-1,0,z3-pb,1,1,6.6377,1,1,1,-1,0
c3540,c3540_trojan80,PASS,PASS,0,0,1990.03,-1,0,z3-pb,1,1,7.1674,1,1,1,-1,0
c3540,c3540_trojan81,PASS,PASS,0,0,7666.08,-1,0,z3-pb,1,1,14.5564,1,1,1,-1,0
c3540,c3540_trojan82,PASS,PASS,0,0,2401.28,-1,0,z3-pb,1,1,6.587,1,1,1,-1,0
c3540,c3540_trojan83,PASS,PASS,0,0,974.777,-1,0,z3-pb,1,1,9.242,1,1,1,-1,0
c3540,c3540_trojan84,PASS,PASS,0,0,3256.39,-1,0,z3-pb,1,1,16.7973,1,1,1,-1,0
c3540,c3540_trojan85,PASS,PASS,0,0,559.889,-1,0,z3-pb,1,1,6.6939,1,1,1,-1,0
c3540,c3540_trojan86,PASS,PASS,0,0,10820.2,-1,0,z3-pb,1,1,8.6494,1,1,1,-1,0
c3540,c3540_trojan87,PASS,PASS,0,0,509.601,-1,0,z3-pb,1,1,7.5686,1,1,1,-1,0
c3540,c3540_trojan88,PASS,PASS,0,0,1802.33,-1,0,z3-pb,1,1,11.8781,1,1,1,-1,0
c3540,c3540_trojan89,PASS,PASS,0,0,2092.09,-1,0,z3-pb,1,1,7.3068,1,1,1,-1,0
c3540,c3540_trojan9,PASS,PASS,0,0,1964.33,-1,0,z3-pb,1,1,6.9988,1,1,1,-1,0
c3540,c3540_trojan90,PASS,PASS,0,0,12768.0,-1,0,z3-pb,1,1,8.7,1,1,1,-1,0
c3540,c3540_trojan91,PASS,PASS,0,0,777.486,-1,0,z3-pb,1,1,8.2555,1,1,1,-1,0
c3540,c3540_trojan92,PASS,PASS,0,0,4473.9,1,0,z3-pb,1,1,5.7295,1,1,1,1,0
c3540,c3540_trojan93,PASS,PASS,0,0,2391.71,-1,0,z3-pb,1,1,5.6794,1,1,1,-1,0
c3540,c3540_trojan94,PASS,PASS,0,0,917.288,-1,0,z3-pb,1,1,6.1416,1,1,1,-1,0
c3540,c3540_trojan95,PASS,PASS,0,0,4077.63,-1,0,z3-pb,1,1,6.2527,1,1,1,-1,0
c3540,c3540_trojan96,PASS,PASS,0,0,1223.04,1,0,z3-pb,1,1,6.8708,1,1,1,1,0
c3540,c3540_trojan97,PASS,PASS,0,0,4817.37,-1,0,z3-pb,1,1,12.2442,1,1,1,-1,0
c3540,c3540_trojan98,PASS,PASS,0,0,1556.95,-1,0,z3-pb,1,1,6.2848,1,1,1,-1,0
c3540,c3540_trojan99,PASS,PASS,0,0,1927.32,-1,0,z3-pb,1,1,6.9516,1,1,1,-1,0
c5315,c5315_trojan0,PASS,PASS,0,0,48765.2,-1,0,z3-pb,1,1,5750.4177,1,1,1,-1,0
c5315,c5315_trojan1,PASS,PASS,0,0,27763.5,-1,0,z3-pb,1,1,28.7677,1,1,1,-1,0
c5315,c5315_trojan10,PASS,PASS,0,0,25285.0,-1,0,z3-pb,1,1,36.1031,1,1,1,-1,0
c5315,c5315_trojan11,PASS,PASS,0,0,29037.2,-1,0,z3-pb,1,1,25.1062,1,1,1,-1,0
c5315,c5315_trojan12,PASS,PASS,0,0,29334.8,-1,-4,z3-pb,1,1,28.8931,1,1,1,-1,-4
c5315,c5315_trojan13,PASS,PASS,0,0,7101.84,-1,0,z3-pb,1,1,29.1399,1,1,1,-1,0
c5315,c5315_trojan14,PASS,PASS,0,0,24416.6,-1,0,z3-pb,1,1,7.5455,1,1,1,-1,0
c5315,c5315_trojan15,PASS,PASS,0,0,4759.11,-1,0,z3-pb,1,1,17.8108,1,1,1,-1,0
c5315,c5315_trojan16,PASS,PASS,0,0,196173.0,-1,0,z3-pb,2,2,29208.2928,1,1,1,-1,0
c5315,c5315_trojan17,PASS,PASS,0,0,811.901,-1,0,z3-pb,1,1,11.3581,1,1,1,-1,0
c5315,c5315_trojan18,PASS,PASS,0,0,127893.0,-1,0,z3-pb,2,2,13678.7773,1,1,1,-1,0
c5315,c5315_trojan19,PASS,PASS,0,0,9717.49,-1,0,z3-pb,1,1,24.3647,1,1,1,-1,0
c5315,c5315_trojan2,PASS,PASS,0,0,44682.0,-1,0,z3-pb,1,1,9821.2535,1,1,1,-1,0
c5315,c5315_trojan20,PASS,PASS,0,0,264624.0,-1,0,z3-pb,2,2,22218.3967,1,1,1,-1,0
c5315,c5315_trojan21,TIMEOUT,FAIL,0,,,,,z3-pb,,,,,,,,
c5315,c5315_trojan22,PASS,PASS,0,0,12790.4,-1,0,z3-pb,1,1,46.657,1,1,1,-1,0
c5315,c5315_trojan23,PASS,PASS,0,0,225319.0,-1,0,z3-pb,2,2,34978.9754,1,1,1,-1,0
c5315,c5315_trojan24,PASS,PASS,0,0,57441.8,-1,0,z3-pb,1,1,10590.3543,1,1,1,-1,0
c5315,c5315_trojan25,PASS,PASS,0,0,5907.93,-1,0,z3-pb,1,1,26.1118,1,1,1,-1,0
