circuit,trojan,a_status,b_status,c_status,a_runtime_ms,b_runtime_ms,c_runtime_ms,b_over_c_runtime,a_cec_rounds,b_cec_rounds,c_cec_rounds,a_dt_builds,b_dt_builds,c_dt_builds,b_effective_rules,b_effective_literals,b_effective_depth,c_effective_rules,c_effective_literals,c_effective_depth,formal_miter_status,formal_miter_added,formal_miter_fn,formal_miter_fp,formal_miter_retries,formal_miter_proved,formal_miter_total_ms
c2670,c2670_trojan83,PASS,PASS,PASS,864.16,544.288,1264.63,0.4303930793987174,2,1,0,3,2,3,1,1,1,1,1,1,proved,10,0,10,2,1,298.7016
c2670,c2670_trojan84,PASS,PASS,PASS,526.76,448.874,743.324,0.6038739499868161,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,85.5093
c2670,c2670_trojan85,PASS,PASS,PASS,504.303,391.384,598.669,0.6537569174284956,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,93.3622
c2670,c2670_trojan86,PASS,PASS,PASS,633.198,557.589,701.184,0.7952106722343922,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,98.6828
c2670,c2670_trojan87,PASS,PASS,PASS,500.971,415.077,581.139,0.7142473659485941,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,82.1229
c2670,c2670_trojan88,PASS,PASS,PASS,554.31,397.103,586.335,0.6772629981154118,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,88.2269
c2670,c2670_trojan89,PASS,PASS,PASS,490.278,457.557,611.471,0.748288962191175,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,95.8482
c2670,c2670_trojan9,PASS,PASS,PASS,444.369,350.251,450.465,0.7775321057129855,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,32.3109
c2670,c2670_trojan90,PASS,PASS,PASS,604.038,587.186,723.446,0.8116514570541548,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,81.9301
c2670,c2670_trojan91,PASS,PASS,PASS,1157.36,1261.91,1376.47,0.9167726140053907,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,107.0566
c2670,c2670_trojan92,PASS,PASS,PASS,756.135,673.856,869.902,0.7746343841030369,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,90.4371
