case_id,circuit,trojan,z3_status,dac_status,transition,both_pass,z3_runtime_ms,dac_runtime_ms,z3_wall_ms,dac_wall_ms,golden_aig_nodes,golden_aig_levels,trojan_aig_nodes,trojan_aig_levels,z3_aig_nodes,z3_aig_levels,dac_aig_nodes,dac_aig_levels,z3_delta_nodes_vs_trojan,dac_delta_nodes_vs_trojan,z3_delta_levels_vs_trojan,dac_delta_levels_vs_trojan,z3_minus_dac_nodes,z3_minus_dac_levels,node_winner,level_winner,dac_target_count,dac_patch_inputs,dac_runeco_added_gates,z3_effective_rules,z3_effective_literals,z3_effective_depth,z3_cec_replay,dac_cec_replay
c2670_trojan7,c2670,c2670_trojan7,PASS,PASS,both_pass,1,567.773,2582.78,668.5440900037065,2683.9802319882438,717,21,738,29,717,21,717,21,-21,-21,-8,-8,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan70,c2670,c2670_trojan70,PASS,PASS,both_pass,1,573.454,8592.46,745.0569370994344,8710.1546600461,717,21,597,19,582,17,582,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan71,c2670,c2670_trojan71,PASS,PASS,both_pass,1,938.255,3766.66,1097.6632329402491,3846.0423110518605,717,21,597,19,582,17,582,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan72,c2670,c2670_trojan72,PASS,PASS,both_pass,1,460.428,4126.9,595.9465310443193,4254.512108978815,717,21,599,19,583,17,583,17,-16,-16,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan73,c2670,c2670_trojan73,PASS,PASS,both_pass,1,622.656,8993.56,744.568285997957,9108.512777951546,717,21,596,19,582,17,582,17,-14,-14,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan74,c2670,c2670_trojan74,PASS,PASS,both_pass,1,730.286,4293.26,897.4662239197642,4396.353542921133,717,21,598,19,583,17,583,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan75,c2670,c2670_trojan75,PASS,PASS,both_pass,1,4251.66,4990.92,4427.777756005526,5106.7009379621595,717,21,597,25,582,19,582,19,-15,-15,-6,-6,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan76,c2670,c2670_trojan76,PASS,PASS,both_pass,1,532.551,8151.32,698.455902049318,8254.098525037989,717,21,597,19,582,17,582,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan77,c2670,c2670_trojan77,PASS,PASS,both_pass,1,549.125,3297.98,704.8734870040789,3397.232493967749,717,21,597,19,582,17,582,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan78,c2670,c2670_trojan78,PASS,PASS,both_pass,1,3255.23,4281.1,3413.350126007572,4398.875081096776,717,21,600,25,584,19,584,19,-16,-16,-6,-6,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan79,c2670,c2670_trojan79,PASS,PASS,both_pass,1,943.293,3250.08,1099.9127989634871,3346.649731975049,717,21,597,19,582,17,582,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan8,c2670,c2670_trojan8,PASS,PASS,both_pass,1,638.485,2406.49,767.7850819891319,2461.8637410458177,717,21,736,29,717,21,717,21,-19,-19,-8,-8,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan80,c2670,c2670_trojan80,PASS,PASS,both_pass,1,1045.96,4440.62,1199.1779339732602,4550.365078030154,717,21,599,19,583,17,583,17,-16,-16,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan81,c2670,c2670_trojan81,PASS,PASS,both_pass,1,1771.66,3343.6,1898.1865610694513,3447.3531499970704,717,21,596,19,582,17,582,17,-14,-14,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan82,c2670,c2670_trojan82,PASS,PASS,both_pass,1,528.627,5330.04,645.5905920593068,5450.990571989678,717,21,599,19,584,17,584,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan83,c2670,c2670_trojan83,PASS,PASS,both_pass,1,1264.63,6096.93,1402.6020399760455,6201.33445400279,717,21,599,24,583,19,583,19,-16,-16,-5,-5,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan84,c2670,c2670_trojan84,PASS,PASS,both_pass,1,743.324,6610.27,895.3886610688642,6708.061476005241,717,21,598,19,583,17,583,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan85,c2670,c2670_trojan85,PASS,PASS,both_pass,1,598.669,3338.75,743.4494700282812,3447.8729700203985,717,21,597,19,582,17,582,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan86,c2670,c2670_trojan86,PASS,PASS,both_pass,1,701.184,4573.38,845.8452669437975,4655.934887938201,717,21,597,19,581,18,581,18,-16,-16,-1,-1,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan87,c2670,c2670_trojan87,PASS,PASS,both_pass,1,581.139,3827.46,743.4376960154623,3950.11383399833,717,21,598,19,583,17,583,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan88,c2670,c2670_trojan88,PASS,PASS,both_pass,1,586.335,2593.73,747.6637839572504,2695.163888973184,717,21,599,19,584,17,584,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan89,c2670,c2670_trojan89,PASS,PASS,both_pass,1,611.471,3854.7,747.2759940428659,3947.4260460119694,717,21,597,19,581,18,581,18,-16,-16,-1,-1,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan9,c2670,c2670_trojan9,PASS,PASS,both_pass,1,450.465,2687.57,567.7174169104546,2770.2870429493487,717,21,738,33,717,21,717,21,-21,-21,-12,-12,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan90,c2670,c2670_trojan90,PASS,PASS,both_pass,1,723.446,3925.47,943.1480050552636,4104.833841091022,717,21,597,19,582,18,582,18,-15,-15,-1,-1,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan91,c2670,c2670_trojan91,PASS,PASS,both_pass,1,1376.47,3910.43,1561.3603290403262,3997.6579539943486,717,21,598,23,582,19,582,19,-16,-16,-4,-4,0,0,tie,tie,1,0,1,1,1,1,1,1
