circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta
c7552,c7552_trojan67,CEC_FAIL,PASS,1,4884.75,2,0
c7552,c7552_trojan68,CEC_FAIL,PASS,0,729.873,-1,0
c7552,c7552_trojan69,PASS,PASS,1,26306.4,2,0
c7552,c7552_trojan6,CEC_FAIL,PASS,0,825.374,-1,0
c7552,c7552_trojan70,CEC_FAIL,PASS,0,789.986,2,0
c7552,c7552_trojan71,PASS,PASS,1,27020.4,4,0
c7552,c7552_trojan72,PASS,PASS,1,7250.1,3,1
c7552,c7552_trojan73,CEC_FAIL,PASS,1,18228.2,2,0
c7552,c7552_trojan74,ERROR_1,FAIL,0,,,
c7552,c7552_trojan75,CEC_FAIL,PASS,1,13614.6,2,0
c7552,c7552_trojan76,FAIL,FAIL,1,23869.9,,
c7552,c7552_trojan77,PASS,PASS,0,1282.11,-1,0
c7552,c7552_trojan78,PASS,PASS,1,9975.46,3,0
c7552,c7552_trojan79,PASS,PASS,1,20449.9,2,0
c7552,c7552_trojan7,PASS,PASS,1,19368.6,2,0
c7552,c7552_trojan80,PASS,PASS,1,17432.8,4,0
c7552,c7552_trojan81,CEC_FAIL,PASS,1,6435.14,4,0
c7552,c7552_trojan82,CEC_FAIL,PASS,1,1558.23,3,0
c7552,c7552_trojan83,CEC_FAIL,PASS,1,17909.2,2,0
c7552,c7552_trojan84,PASS,PASS,1,24845.5,2,0
c7552,c7552_trojan85,PASS,PASS,1,29890.9,2,0
c7552,c7552_trojan86,PASS,PASS,1,2009.15,3,0
c7552,c7552_trojan87,PASS,PASS,1,24950.1,4,0
c7552,c7552_trojan88,PASS,PASS,1,15257.2,4,0
c7552,c7552_trojan89,CEC_FAIL,PASS,0,899.609,1,0
c7552,c7552_trojan8,PASS,PASS,1,21307,2,0
c7552,c7552_trojan90,PASS,PASS,1,30774.7,3,0
c7552,c7552_trojan91,PASS,PASS,1,20836.3,2,0
c7552,c7552_trojan92,PASS,PASS,0,762.567,-1,0
c7552,c7552_trojan93,PASS,PASS,1,28381.2,2,0
c7552,c7552_trojan94,ERROR_1,FAIL,0,,,
c7552,c7552_trojan95,PASS,PASS,1,15592.7,3,0
c7552,c7552_trojan96,PASS,PASS,1,28294.2,2,0
c7552,c7552_trojan97,ERROR_1,FAIL,0,,,
c7552,c7552_trojan98,ERROR_1,FAIL,0,,,
c7552,c7552_trojan99,ERROR_1,FAIL,0,,,
c7552,c7552_trojan9,PASS,PASS,1,25861.5,4,0
c880,c880_trojan0,PASS,PASS,1,3167.42,8,6
c880,c880_trojan10,PASS,PASS,1,3481.96,9,1
c880,c880_trojan11,CEC_FAIL,PASS,1,2181.82,7,1
c880,c880_trojan12,PASS,PASS,1,4468.94,9,1
c880,c880_trojan13,CEC_FAIL,PASS,1,931.889,4,2
c880,c880_trojan14,PASS,PASS,1,1566.82,9,1
c880,c880_trojan15,PASS,PASS,1,1224.18,4,1
c880,c880_trojan16,PASS,PASS,1,5825.05,10,3
c880,c880_trojan17,ERROR_1,FAIL,0,,,
c880,c880_trojan18,CEC_FAIL,PASS,1,497.431,2,1
c880,c880_trojan19,CEC_FAIL,PASS,1,1590.78,3,1
c880,c880_trojan1,PASS,PASS,1,9672.61,9,1
c880,c880_trojan20,CEC_FAIL,PASS,1,1394.43,8,1
c880,c880_trojan21,PASS,PASS,1,5190.98,9,1
c880,c880_trojan22,PASS,PASS,1,2927.6,9,2
c880,c880_trojan23,PASS,PASS,1,4327.02,9,1
c880,c880_trojan24,CEC_FAIL,PASS,1,2543.67,4,1
c880,c880_trojan25,PASS,PASS,1,4921.57,9,1
c880,c880_trojan26,CEC_FAIL,PASS,1,436.109,3,1
